event_date,total_event_count
2023-01-01,222
2023-01-02,127
2023-01-03,128
2023-01-04,125
2023-01-05,129
2023-01-06,110
2023-01-07,243
2023-01-08,252
2023-01-09,121
2023-01-10,115
2023-01-11,116
2023-01-12,124
2023-01-13,109
2023-01-14,240
2023-01-15,252
2023-01-16,117
2023-01-17,116
2023-01-18,119
2023-01-19,123
2023-01-20,104
2023-01-21,236
2023-01-22,251
2023-01-23,104
2023-01-24,110
2023-01-25,112
2023-01-26,117
2023-01-27,100
2023-01-28,238
2023-01-29,254
2023-01-30,101
2023-01-31,103
2023-02-01,112
2023-02-02,112
2023-02-03,97
2023-02-04,231
2023-02-05,243
2023-02-06,102
2023-02-07,110
2023-02-08,112
2023-02-09,114
2023-02-10,92
2023-02-11,228
2023-02-12,246
2023-02-13,104
2023-02-14,111
2023-02-15,116
2023-02-16,100
2023-02-18,2
2023-02-20,2
2023-02-21,1
2023-02-22,2
2023-02-23,4
2023-02-25,3
2023-02-28,1
2023-03-01,2
2023-03-02,5
2023-03-03,1
2023-03-04,7
2023-03-05,5
2023-03-06,2
2023-03-07,1
2023-03-10,3
2023-03-11,7
2023-03-12,8
2023-03-13,2
2023-03-14,4
2023-03-20,1
2023-03-21,2
2023-03-23,5
2023-03-25,2
2023-03-26,2
2023-03-27,3
2023-03-28,1
2023-03-29,1
2023-03-30,3
2023-03-31,3
2023-04-01,4
2023-04-02,2
2023-04-04,3
2023-04-05,1
2023-04-06,3
2023-04-07,4
2023-04-08,9
2023-04-09,8
2023-04-10,2
2023-04-11,2
2023-04-13,3
2023-04-14,7
2023-04-15,8
2023-04-16,2
2023-04-17,4
2023-04-18,3
2023-04-19,4
2023-04-20,1354
2023-04-21,1253
2023-04-22,1369
2023-04-23,1295
2023-04-24,1229
2023-04-25,1321
2023-04-26,1351
2023-04-27,1372
2023-04-28,1229
2023-04-29,1294
2023-04-30,1335
2023-05-01,1289
2023-05-02,1380
2023-05-03,1426
2023-05-04,1415
2023-05-05,1286
2023-05-06,1453
2023-05-07,1430
2023-05-08,1340
2023-05-09,1470
2023-05-10,1433
2023-05-11,1471
2023-05-12,1331
2023-05-13,1477
2023-05-14,1368
2023-05-15,1295
2023-05-16,1419
2023-05-17,1455
2023-05-18,1470
2023-05-19,1317
2023-05-20,1633
2023-05-21,1493
2023-05-22,1232
2023-05-23,1371
2023-05-24,1422
2023-05-25,1447
2023-05-26,1286
2023-05-27,1400
2023-05-28,1266
2023-05-29,1113
2023-05-30,1355
2023-05-31,1403
2023-06-01,1425
2023-06-02,1366
2023-06-03,1789
2023-06-04,1598
2023-06-05,1203
2023-06-06,1351
2023-06-07,1412
2023-06-08,1361
2023-06-09,1269
2023-06-10,1761
2023-06-11,1657
2023-06-12,1146
2023-06-13,1209
2023-06-14,1281
2023-06-15,1326
2023-06-16,1230
2023-06-17,1765
2023-06-18,1488
2023-06-19,1031
2023-06-20,1155
2023-06-21,1262
2023-06-22,1233
2023-06-23,1146
2023-06-24,1803
2023-06-25,1523
2023-06-26,1038
2023-06-27,1140
2023-06-28,1124
2023-06-29,1152
2023-06-30,1055
2023-07-01,1321
2023-07-02,1170
2023-07-03,878
2023-07-04,974
2023-07-05,1099
2023-07-06,1169
2023-07-07,1019
2023-07-08,1545
2023-07-09,1378
2023-07-10,1095
2023-07-11,1228
2023-07-12,1241
2023-07-13,1305
2023-07-14,1101
2023-07-15,1640
2023-07-16,1443
2023-07-17,1114
2023-07-18,1225
2023-07-19,1268
2023-07-20,1313
2023-07-21,1089
2023-07-22,1650
2023-07-23,1436
2023-07-24,1111
2023-07-25,1258
2023-07-26,1280
2023-07-27,1319
2023-07-28,1109
2023-07-29,1685
2023-07-30,1440
2023-07-31,1074
2023-08-01,1251
2023-08-02,1202
2023-08-03,1223
2023-08-04,1057
2023-08-05,1557
2023-08-06,1402
2023-08-07,1065
2023-08-08,1183
2023-08-09,1172
2023-08-10,1209
2023-08-11,1056
2023-08-12,1552
2023-08-13,1400
2023-08-14,1029
2023-08-15,1162
2023-08-16,1169
2023-08-17,1189
2023-08-18,1039
2023-08-19,1557
2023-08-20,1373
2023-08-21,979
2023-08-22,1088
2023-08-23,1102
2023-08-24,1082
2023-08-25,974
2023-08-26,1617
2023-08-27,1167
2023-08-28,760
2023-08-29,885
2023-08-30,864
2023-08-31,739
2023-09-01,570
2023-09-02,866
2023-09-03,792
2023-09-04,530
2023-09-05,695
2023-09-06,796
2023-09-07,841
2023-09-08,812
2023-09-09,1446
2023-09-10,1217
2023-09-11,765
2023-09-12,873
2023-09-13,949
2023-09-14,991
2023-09-15,881
2023-09-16,1437
2023-09-17,1243
2023-09-18,880
2023-09-19,972
2023-09-20,1051
2023-09-21,1057
2023-09-22,1022
2023-09-23,1451
2023-09-24,1265
2023-09-25,848
2023-09-26,1029
2023-09-27,1058
2023-09-28,1091
2023-09-29,1013
2023-09-30,1482
2023-10-01,1325
2023-10-02,901
2023-10-03,1024
2023-10-04,1051
2023-10-05,1064
2023-10-06,993
2023-10-07,1288
2023-10-08,1161
2023-10-09,893
2023-10-10,1004
2023-10-11,1036
2023-10-12,1102
2023-10-13,1013
2023-10-14,1387
2023-10-15,1300
2023-10-16,919
2023-10-17,1018
2023-10-18,1064
2023-10-19,1092
2023-10-20,1001
2023-10-21,1366
2023-10-22,1240
2023-10-23,900
2023-10-24,1013
2023-10-25,1049
2023-10-26,1068
2023-10-27,961
2023-10-28,1379
2023-10-29,1224
2023-10-30,816
2023-10-31,928
2023-11-01,906
2023-11-02,909
2023-11-03,850
2023-11-04,1168
2023-11-05,1076
2023-11-06,714
2023-11-07,809
2023-11-08,770
2023-11-09,801
2023-11-10,695
2023-11-11,1049
2023-11-12,956
2023-11-13,618
2023-11-14,675
2023-11-15,690
2023-11-16,724
2023-11-17,631
2023-11-18,950
2023-11-19,870
2023-11-20,538
2023-11-21,591
2023-11-22,556
2023-11-23,515
2023-11-24,460
2023-11-25,632
2023-11-26,577
2023-11-27,456
2023-11-28,487
2023-11-29,456
2023-11-30,445
2023-12-01,161
2023-12-02,325
2023-12-03,363
2023-12-04,176
2023-12-05,187
2023-12-06,227
2023-12-07,261
2023-12-08,242
2023-12-09,392
2023-12-10,463
2023-12-11,223
2023-12-12,277
2023-12-13,244
2023-12-14,245
2023-12-15,241
2023-12-16,364
2023-12-17,352
2023-12-18,189
2023-12-19,181
2023-12-20,182
2023-12-21,188
2023-12-22,172
2023-12-23,248
2023-12-24,250
2023-12-25,121
2023-12-26,134
2023-12-27,159
2023-12-28,157
2023-12-29,139
2023-12-30,230
2023-12-31,253
2024-01-01,137
2024-01-02,140
2024-01-03,150
2024-01-04,155
2024-01-05,155
2024-01-06,271
2024-01-07,282
2024-01-08,151
2024-01-09,145
2024-01-10,147
2024-01-11,153
2024-01-12,144
2024-01-13,257
2024-01-14,281
2024-01-15,138
2024-01-16,143
2024-01-17,146
2024-01-18,156
2024-01-19,148
2024-01-20,259
2024-01-21,285
2024-01-22,136
2024-01-23,148
2024-01-24,156
2024-01-25,164
2024-01-26,154
2024-01-27,274
2024-01-28,283
2024-01-29,146
2024-01-30,147
2024-01-31,157
2024-02-01,164
2024-02-02,151
2024-02-03,281
2024-02-04,290
2024-02-05,157
2024-02-06,164
2024-02-07,175
2024-02-08,178
2024-02-09,173
2024-02-10,310
2024-02-11,308
2024-02-12,160
2024-02-13,171
2024-02-14,172
2024-02-15,178
2024-02-16,169
2024-02-17,289
2024-02-18,302
2024-02-19,154
2024-02-20,168
2024-02-21,168
2024-02-22,180
2024-02-23,167
2024-02-24,288
2024-02-25,290
2024-02-26,163
2024-02-27,164
2024-02-28,176
2024-02-29,188
2024-03-01,207
2024-03-02,302
2024-03-03,320
2024-03-04,203
2024-03-05,214
2024-03-06,225
2024-03-07,228
2024-03-08,208
2024-03-09,302
2024-03-10,317
2024-03-11,207
2024-03-12,222
2024-03-13,201
2024-03-14,201
2024-03-15,170
2024-03-16,192
2024-03-17,214
2024-03-18,6
2024-03-19,3
2024-03-20,3
2024-03-21,5
2024-03-22,8
2024-03-23,16
2024-03-24,8
2024-03-25,7
2024-03-26,7
2024-03-27,2
2024-03-28,8
2024-03-29,6
2024-03-30,11
2024-03-31,11
2024-04-01,15
2024-04-02,5
2024-04-03,3
2024-04-04,12
2024-04-05,8
2024-04-06,15
2024-04-07,4
2024-04-08,13
2024-04-09,54
2024-04-10,26
2024-04-11,31
2024-04-12,23
2024-04-13,50
2024-04-14,30
2024-04-15,19
2024-04-16,22
2024-04-17,14
2024-04-18,23
2024-04-19,26
2024-04-20,46
2024-04-21,31
2024-04-22,16
2024-04-23,5
2024-04-24,11
2024-04-25,9
2024-04-26,21
2024-04-27,46
2024-04-28,33
2024-04-29,3
2024-04-30,4
